model_version,source,interval_prob,Year,analyte,treatment,n_events,load_mean,load_low,load_high,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high
v1p7p5,Observed,0.95,2015,TN,CT,20,3888.88278456,3376.8421328562504,4323.7045951397495,436607.38,379380.4755,483478.369,8.907047756636638,8.653443668620017,9.191457743971316
v1p7p5,Observed,0.95,2015,TN,MT,20,1703.43855143,1266.068936776,2158.09653323425,186492.58,139465.26975,240743.84924999997,9.1340821786582609,8.77965190681844,9.560385990383184
v1p7p5,Observed,0.95,2015,TN,ST,19,1384.59870332,1088.76976265425,1713.0290203247498,154139.61,117718.12550000001,194150.27,8.982757276471634,8.746077445544154,9.325586778176786
v1p7p5,Observed,0.95,2016,TN,CT,8,1444.3362117499998,1133.290194215,1743.2833648309997,306451.77999999997,246629.72625000004,366165.45999999996,4.713094542149502,4.506378071391371,4.8636349453936845
v1p7p5,Observed,0.95,2016,TN,MT,8,197.27692735999997,124.10439138450002,288.5939564025,41283,26696.38,59814.729999999996,4.7786480478647375,4.620598249899291,4.871337682796399
v1p7p5,Observed,0.95,2016,TN,ST,8,752.72358918,463.86333848025,1043.25428825925,156399.24,97015.33499999999,210972.9,4.812834059679575,4.618686455311855,4.925846614974572
v1p7p5,Observed,0.95,2011,TP,CT,6,216.55367106999998,106.55826759,335.39699054274996,82714.57,47086.926,122600.56975000001,2.6180837435291022,2.0506986971689023,2.9377279973322215
v1p7p5,Observed,0.95,2011,TP,MT,3,158.76655615,98.13018252,210.90567537000004,87865,63065.67,110018.61000000002,1.806937417060263,1.556,1.917
v1p7p5,Observed,0.95,2011,TP,ST,5,194.80309969,48.40377106,350.72716828149953,123379.26,52850.63350000001,194526.29,1.5788966451087485,0.8356107005917857,2.0486897660228034
v1p7p5,Observed,0.95,2012,TP,CT,10,220.15028,133.58742017500018,324.80983912500005,96259,58661.150000000016,136424.375,2.2870617812360403,1.7532086022641413,2.913628776925437
