Method,Scenario,Year,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws
Bayes,model_only,2018,NO2,ST,0.06503633446863155,0.053665126786702134,-0.4194500046255508,0.6533876845252982,1500
Bayes,model_only,2018,NO3,CT,2.7011702012935466,2.5482789196573785,1.4135999349494182,4.736837565675903,1500
Bayes,model_only,2018,NO3,MT,2.800797184730844,2.656370589665224,1.522853006303466,4.6877869766243645,1500
Bayes,model_only,2018,NO3,ST,2.736504536328659,2.598078378885664,1.4812152164484136,4.597819941765487,1500
Bayes,model_only,2018,OP,CT,0.1273787929897648,0.1195154102915651,0.034897774114006845,0.266022418307398,1500
Bayes,model_only,2018,OP,MT,0.11857816503487126,0.11053375435322085,0.026600020810836057,0.2510856185828682,1500
Bayes,model_only,2018,OP,ST,0.11615441804087756,0.10875612400280313,0.024134219098701972,0.2410075237275634,1500
Bayes,model_only,2018,Se,CT,0.002553007875917151,0.0024466361595172183,0.0013156557719189407,0.004425571598282118,1500
Bayes,model_only,2018,Se,MT,0.002357671079419893,0.0022429801476863175,0.0011950020522521242,0.004069386506083505,1500
Bayes,model_only,2018,Se,ST,0.002350865749032695,0.0022458090780506502,0.0011863281500408347,0.004052245605146963,1500
Bayes,model_only,2018,TDS,CT,323.248611948371,307.50789968912864,177.8168794153035,552.1778888166417,1500
Bayes,model_only,2018,TDS,MT,338.0905285669125,324.594477491628,190.48422698111094,558.0196461657138,1500
Bayes,model_only,2018,TDS,ST,336.2646661653981,323.01466914153013,186.4302552641506,555.9665643355683,1500
Bayes,model_only,2018,TKN,CT,1.6436639036791858,1.5555522943338498,0.3845538083310846,3.4077132639351637,1500
Bayes,model_only,2018,TKN,MT,1.1853286471613953,1.1142219376049955,-0.09298048974857978,2.7699330323974705,1500
Bayes,model_only,2018,TKN,ST,1.1883841069081886,1.1254005807413971,-0.07654212996681421,2.7247305910417334,1500
Bayes,model_only,2018,TN,CT,2.2151368725395546,2.0344103070169415,-0.35536777462128843,5.575961789146277,1500
Bayes,model_only,2018,TN,MT,2.1455305396751108,1.980082509116266,-0.5236265254219084,5.393224722673881,1500
Bayes,model_only,2018,TN,ST,2.141282921618166,1.977236545746347,-0.4467994982592687,5.411555992722387,1500
Bayes,model_only,2018,TP,CT,0.5485925739907379,0.4778766400736015,-0.22499644185284748,1.7129257876172927,1500
Bayes,model_only,2018,TP,MT,0.3120769666680844,0.26041619233721675,-0.49056746567426057,1.4644872265191509,1500
Bayes,model_only,2018,TP,ST,0.2960793069149784,0.24135770612694596,-0.497414789923942,1.4269980237650155,1500
Bayes,model_only,2018,TSS,CT,1210.328284813631,1136.2812582917902,517.7333451281943,2366.18881288619,1500
Bayes,model_only,2018,TSS,MT,774.3919462811782,712.7458078690474,107.42768936382843,1760.047437797767,1500
Bayes,model_only,2018,TSS,ST,819.1244716540593,752.7486601952896,151.76836668700003,1843.5553798672522,1500
Bayes,model_only,2019,NH4,CT,0.01579467504091572,0.01538392881737718,0.0024182582213943156,0.03136935519604762,1500
Bayes,model_only,2019,NH4,MT,0.01527570138303991,0.014996848700212409,0.0016441666687536307,0.030580940452693026,1500
Bayes,model_only,2019,NH4,ST,0.01579467504091572,0.01538392881737718,0.0024182582213943156,0.03136935519604762,1500
Bayes,model_only,2019,NO2,CT,0.008549841425682143,0.003429941952484885,-0.11528344248913999,0.1570705477048746,1500
Bayes,model_only,2019,NO2,MT,0.008322478716496938,0.003796346941414678,-0.11402438683888817,0.15588641230457975,1500
