Method,Scenario,Year,Outcome,ComparisonTreatment,mean,median,lower_95,upper_95,n_valid_percent_draws,n_total_draws,ct_annual_total_median,ct_annual_total_lower_95,ct_annual_total_upper_95,n_invalid_percent_draws,fraction_invalid_percent_draws,PointPercentDifference,primary_center,primary_center_type,primary_center_within_draw_interval,definition
Bayes,model_only,2018,Runoff volume,MT,-10.789112829889552,-11.967904034727827,-40.1020798370869,29.525302592809293,1500,1500,155189.02387470397,83701.02379536149,244642.4920181958,0,0.0,,-11.967904034727827,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2018,Runoff volume,ST,-11.111301226000576,-12.241142414230781,-39.97677981210992,24.914210999313823,1500,1500,155189.02387470397,83701.02379536149,244642.4920181958,0,0.0,,-12.241142414230781,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2018,TN,MT,-10.293388338379009,-17.183450099665958,-63.790134328124225,59.532424676054816,1459,1500,0.8318874680052799,0.0,2.391784661700455,41,0.027333333333333334,,-17.183450099665958,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2018,TN,ST,-11.558287359249915,-17.36246303610278,-68.26514259837428,55.46492000737061,1459,1500,0.8318874680052799,0.0,2.391784661700455,41,0.027333333333333334,,-17.36246303610278,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2018,TP,MT,102.80015247835995,-30.873896402319122,-100.0,603.5333977408643,1205,1500,0.03673126228621038,0.0,0.42284039863973444,295,0.19666666666666666,,-30.873896402319122,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2018,TP,ST,105.77229343506515,-28.707713611484834,-100.0,619.9698243339886,1205,1500,0.03673126228621038,0.0,0.42284039863973444,295,0.19666666666666666,,-28.707713611484834,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2018,TSS,MT,4.690944512761057,-26.597431218474142,-99.21514884930903,244.1937060116763,1482,1500,112.81524863258352,3.7624865214692695,496.0144682585694,18,0.012,,-26.597431218474142,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2018,TSS,ST,25.947270043398976,-25.31197644487269,-91.76150505704611,232.84186965278226,1482,1500,112.81524863258352,3.7624865214692695,496.0144682585694,18,0.012,,-25.31197644487269,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2019,Runoff volume,MT,10.778795255527724,0.21214592723792175,-56.686715397909275,142.2405202964106,1500,1500,30529.978712560805,12371.995632091972,47809.62646649845,0,0.0,,0.21214592723792175,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2019,Runoff volume,ST,10.03580762494768,-0.15246661740803422,-60.48386276112376,135.3965683298772,1500,1500,30529.978712560805,12371.995632091972,47809.62646649845,0,0.0,,-0.15246661740803422,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2019,TN,MT,38.753661342493274,-1.6489367166965045,-85.15230504091414,301.56875200891545,1412,1500,0.19520495000054883,0.0,0.5793671843088801,88,0.058666666666666666,,-1.6489367166965045,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
